Layer,Weights
conv2d,0.068391845
conv2d,0.11388421
conv2d,0.09460318
conv2d,0.052517064
conv2d,-0.05553188
conv2d,0.18357123
conv2d,-0.19743212
conv2d,0.12011352
conv2d,-0.13371946
conv2d,-0.1699885
conv2d,-0.025325827
conv2d,-0.06390279
conv2d,0.08980271
conv2d,-0.2025839
conv2d,0.18839043
conv2d,0.18615292
conv2d,0.19580281
conv2d,-0.20630386
conv2d,-0.2092566
conv2d,-0.029984774
conv2d,0.0819261
conv2d,-0.12065529
conv2d,0.18856806
conv2d,-0.028846845
conv2d,0.053398658
conv2d,0.015468298
conv2d,-0.060647216
conv2d,-0.061715998
conv2d,-0.1517029
conv2d,0.06974847
conv2d,0.044671398
conv2d,0.098561384
conv2d,-0.12264603
conv2d,-0.31942722
conv2d,0.16327845
conv2d,-0.1391944
conv2d,-0.17275421
conv2d,-0.20763785
conv2d,-0.09044211
conv2d,-0.023838963
conv2d,0.10321519
conv2d,-0.05227345
conv2d,-0.078615144
conv2d,0.14961478
conv2d,0.038243562
conv2d,0.04742787
conv2d,-0.043357447
conv2d,0.1122878
conv2d,-0.12761743
conv2d,-0.03879545
conv2d,-0.15352602
conv2d,0.1649713
conv2d,0.1221547
conv2d,-0.19232962
conv2d,-0.17473434
conv2d,0.18981782
conv2d,0.06521585
conv2d,-0.19488804
conv2d,-0.33601204
conv2d,-0.067761526
conv2d,-0.076645404
conv2d,-0.16691609
conv2d,-0.13075885
conv2d,-0.14669976
conv2d,0.2303188
conv2d,-0.14450532
conv2d,-0.025624575
conv2d,-0.23963098
conv2d,0.14453469
conv2d,-0.041641142
conv2d,-0.07098148
conv2d,-0.07319811
conv2d,-0.012767703
conv2d,0.004650942
conv2d,0.12731622
conv2d,-0.021380587
conv2d,0.07622963
conv2d,0.15951698
conv2d,0.034006048
conv2d,0.25631338
conv2d,-0.26682225
conv2d,-0.1482916
conv2d,0.05816553
conv2d,-0.06994587
conv2d,-0.24285966
conv2d,0.041614473
conv2d,-0.0492112
conv2d,-0.19948472
conv2d,-0.2547952
conv2d,-0.0056604403
conv2d,0.20714208
conv2d,-0.16430974
conv2d,-0.18426794
conv2d,0.1115033
conv2d,0.19089083
conv2d,0.02542746
conv2d,-0.07877817
conv2d,-0.11134388
conv2d,0.057936337
conv2d,0.15616398
conv2d,0.05820947
conv2d,-0.14259915
conv2d,0.0009005655
conv2d,-0.0011575418
conv2d,-0.024691358
conv2d,0.032468382
conv2d,-0.2221581
conv2d,-0.047809858
conv2d,-0.13159938
conv2d,0.14893065
conv2d,-0.057749808
conv2d,-0.14783494
conv2d,0.17656127
conv2d,-0.21916153
conv2d,-0.13074136
conv2d,-0.07956029
conv2d,-0.10562761
conv2d,0.21492323
conv2d,0.047176924
conv2d,-0.14988491
conv2d,0.08781995
conv2d,-0.042641003
conv2d,0.11468687
conv2d,-0.045221362
conv2d,0.13182478
conv2d,-0.10016666
conv2d,0.16571054
conv2d,0.04643387
conv2d,0.007383822
conv2d,-0.06916192
conv2d,0.07448729
conv2d,0.031728406
conv2d,-0.06496282
conv2d,0.08605939
conv2d,-0.08201836
conv2d,-0.020253224
conv2d,0.014756532
conv2d,-0.00017182862
conv2d,0.14275672
conv2d,0.03681731
conv2d,-0.07963904
conv2d,0.19937295
conv2d,0.114081524
conv2d,-0.15059805
conv2d,-0.06933327
conv2d,-0.34751904
conv2d,0.15877964
conv2d,-0.03876589
conv2d,-0.008178087
conv2d,-0.078626886
conv2d,0.12786542
conv2d,0.16964336
conv2d,-0.17979513
conv2d,0.12688108
conv2d,-0.31846336
conv2d,-0.1786686
conv2d_1,-0.06639918
conv2d_1,0.004451418
conv2d_1,0.047934227
conv2d_1,0.06868917
conv2d_1,-0.024622884
conv2d_1,0.08501331
conv2d_1,0.020896234
conv2d_1,-0.06815301
conv2d_1,-0.11338224
conv2d_1,0.04980245
conv2d_1,0.060699012
conv2d_1,0.10901842
conv2d_1,-0.101584524
conv2d_1,0.07814859
conv2d_1,0.02608817
conv2d_1,0.08295779
conv2d_1,-0.067584805
conv2d_1,-0.13347505
conv2d_1,0.11618814
conv2d_1,-0.091296464
conv2d_1,0.077431485
conv2d_1,0.021183575
conv2d_1,0.061684318
conv2d_1,0.050300345
